del,fin,rea,inv,trigger = trig,trig = true,trig = false,
rel,del,true,false,true,G((trig ∧ ¬rel) → (¬del U rel)),G(¬rel → (¬del U rel)),true
rel,del,fin,false,true,G((trig ∧ ¬rel) → (G(¬fin) ∨ (¬fin U (fin ∧ (¬del U rel))))),G(¬rel → (G(¬fin) ∨ (¬fin U (fin ∧ (¬del U rel))))),true
rel,false,fin,rea,true,G((trig ∧ ¬rel) → (G(¬fin) ∨ (¬fin U (fin ∧ F(rel ∨ rea))))),G(G(¬fin) ∨ (¬fin U (fin ∧ F(rel ∨ rea)))),true
rel,del,fin,rea,true,G((trig ∧ ¬rel) → (G(¬fin) ∨ (¬fin U (rel ∨ (fin ∧ (¬del U (rel ∨ rea))))))),G(¬rel → (G(¬fin) ∨ (¬fin U (rel ∨ (fin ∧ (¬del U (rel ∨ rea))))))),true
rel,false,fin,false,true,G((trig ∧ ¬rel) → (G(¬fin) ∨ (¬fin U (rel ∨ (fin ∧ F(rel)))))),G(¬rel → (G(¬fin) ∨ (¬fin U (rel ∨ (fin ∧ F(rel)))))),true
rel,true,fin,rea,true,G((trig ∧ ¬rel) → (G(¬fin) ∨ (¬fin U (rel ∨ (fin ∧ rea))))),G(¬rel → (G(¬fin) ∨ (¬fin U (rel ∨ (fin ∧ rea))))),true
rel,true,fin,true,true,G((trig ∧ ¬rel) → (G(¬fin) ∨ (¬fin U (rel ∨ fin)))),G(¬rel → (G(¬fin) ∨ (¬fin U (rel ∨ fin)))),true
rel,false,fin,true,true,G((trig ∧ ¬rel) → (G(¬fin) ∨ (¬fin U (rel ∨ fin)))),G(¬rel → (G(¬fin) ∨ (¬fin U (rel ∨ fin)))),true
rel,del,fin,true,true,G((trig ∧ ¬rel) → (G(¬fin) ∨ (¬fin U (rel ∨ fin)))),G(¬rel → (G(¬fin) ∨ (¬fin U (rel ∨ fin)))),true
rel,true,fin,false,true,G((trig ∧ ¬rel) → (G(¬fin) ∨ (¬fin U rel))),G(¬rel → (G(¬fin) ∨ (¬fin U rel))),true
rel,del,true,false,inv,G((trig ∧ ¬rel) → (inv ∧ ((inv ∧ ¬del) U rel))),G(¬rel → (inv ∧ ((inv ∧ ¬del) U rel))),true
rel,del,fin,false,inv,G((trig ∧ ¬rel) → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ ((inv ∧ ¬del) U rel)))))),G(¬rel → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ ((inv ∧ ¬del) U rel)))))),true
rel,false,fin,false,inv,G((trig ∧ ¬rel) → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ (inv U rel)))))),G(¬rel → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ (inv U rel)))))),true
rel,del,fin,rea,inv,G((trig ∧ ¬rel) → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ ((inv ∧ ¬del) U (rel ∨ (inv ∧ rea))))))))),G(¬rel → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ ((inv ∧ ¬del) U (rel ∨ (inv ∧ rea))))))))),true
rel,del,fin,true,inv,G((trig ∧ ¬rel) → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ ((inv ∧ ¬del) U (rel ∨ inv)))))))),G(¬rel → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ ((inv ∧ ¬del) U (rel ∨ inv)))))))),true
rel,true,fin,rea,inv,G((trig ∧ ¬rel) → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ (inv ∧ rea))))))),G(¬rel → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ (inv ∧ rea))))))),true
rel,false,fin,rea,inv,G((trig ∧ ¬rel) → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ (inv U (rel ∨ (inv ∧ rea))))))))),G(¬rel → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ (inv U (rel ∨ (inv ∧ rea))))))))),true
rel,false,fin,true,inv,G((trig ∧ ¬rel) → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ (inv U (rel ∨ inv)))))))),G(¬rel → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ (inv U (rel ∨ inv)))))))),true
rel,true,fin,true,inv,G((trig ∧ ¬rel) → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ inv)))))),G(¬rel → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ inv)))))),true
