G(trig → rea),G(rea)
G(trig → F(rea)),GF(rea)
G(trig → (rel ∨ rea)),G(rel ∨ rea)
G(trig → (rel ∨ (¬del U (rel ∨ rea)))),G(rel ∨ (¬del U (rel ∨ rea)))
G(trig → (inv ∧ rea)),G(inv ∧ rea)
G(trig → (inv ∧ F(rea))),G(inv ∧ F(rea))
G(trig → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ F(rea)))))),G(inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ F(rea)))))
G(trig → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ (inv ∧ rea)))))),G(inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ (inv ∧ rea)))))
G(trig → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ (¬del U rea)))))),G(inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (fin ∧ (¬del U rea)))))
G(trig → (inv ∧ (¬del U rea))),G(inv ∧ (¬del U rea))
G(trig → (G(¬fin) ∨ (¬fin U (fin ∧ rea)))),G(G(¬fin) ∨ (¬fin U (fin ∧ rea)))
G(trig → (G(¬fin) ∨ (¬fin U (fin ∧ F(rea))))),G(G(¬fin) ∨ (¬fin U (fin ∧ F(rea))))
G(trig → (G(¬fin) ∨ (¬fin U (fin ∧ (¬del U rea))))),G(G(¬fin) ∨ (¬fin U (fin ∧ (¬del U rea))))
G(trig → (¬del U rea)),G(¬del U rea)
G((trig ∧ ¬rel) → inv),G(¬rel → (inv ∧ rel))
G((trig ∧ ¬rel) → F(rel)),GF(rel)
G((trig ∧ ¬rel) → F(rel ∨ rea)),GF(rel ∨ rea)
G((trig ∧ ¬rel) → (inv U rel)),G(¬rel → (inv U rel))
G((trig ∧ ¬rel) → (inv ∧ (rel ∨ inv))),G(¬rel → (inv ∧ (rel ∨ inv)))
G((trig ∧ ¬rel) → (inv ∧ (rel ∨ (inv U (rel ∨ inv))))),G(¬rel → (inv ∧ (rel ∨ (inv U (rel ∨ inv)))))
G((trig ∧ ¬rel) → (inv ∧ (rel ∨ (inv U (rel ∨ (inv ∧ rea)))))),G(¬rel → (inv ∧ (rel ∨ (inv U (rel ∨ (inv ∧ rea))))))
G((trig ∧ ¬rel) → (inv ∧ (rel ∨ (inv ∧ rea)))),G(¬rel → (inv ∧ (rel ∨ (inv ∧ rea))))
G((trig ∧ ¬rel) → (inv ∧ (rel ∨ ((inv ∧ ¬del) U (rel ∨ inv))))),G(¬rel → (inv ∧ (rel ∨ ((inv ∧ ¬del) U (rel ∨ inv)))))
G((trig ∧ ¬rel) → (inv ∧ (rel ∨ ((inv ∧ ¬del) U (rel ∨ (inv ∧ rea)))))),G(¬rel → (inv ∧ (rel ∨ ((inv ∧ ¬del) U (rel ∨ (inv ∧ rea))))))
G((trig ∧ ¬rel) → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U rel)))),G(¬rel → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U rel))))
G((trig ∧ ¬rel) → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ inv)))))),G(¬rel → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ inv))))))
G((trig ∧ ¬rel) → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ (inv U (rel ∨ inv)))))))),G(¬rel → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ (inv U (rel ∨ inv))))))))
G((trig ∧ ¬rel) → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ (inv U (rel ∨ (inv ∧ rea))))))))),G(¬rel → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ (inv U (rel ∨ (inv ∧ rea)))))))))
G((trig ∧ ¬rel) → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ (inv ∧ rea))))))),G(¬rel → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ (inv ∧ rea)))))))
G((trig ∧ ¬rel) → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ ((inv ∧ ¬del) U (rel ∨ inv)))))))),G(¬rel → (inv ∧ (G(inv ∧ ¬fin) ∨ ((inv ∧ ¬fin) U (rel ∨ (fin ∧ ((inv ∧ ¬del) U (rel ∨ inv))))))))
